File Name,Total Rows in File,Total Cols in File,Column Name,Data Type,Non-Null Count,Sample Categories / Value
correlated_data.parquet,294,24,type_token_ratio,float64,294,0.0
correlated_data.parquet,294,24,readability_flesch,float64,294,0.0
correlated_data.parquet,294,24,readability_fog,float64,294,0.0
correlated_data.parquet,294,24,positive_score,float64,294,0.0
correlated_data.parquet,294,24,negative_score,float64,294,0.0
correlated_data.parquet,294,24,polarity_score,float64,294,0.0
correlated_data.parquet,294,24,forward_looking_score,float64,294,0.0
correlated_data.parquet,294,24,risk_density,float64,294,0.0
correlated_data.parquet,294,24,filed,datetime64[us],294,2023-11-03 00:00:00
correlated_data.parquet,294,24,form,str,294,10-K
correlated_data.parquet,294,24,EarningsPerShareDiluted,float64,264,6.13
correlated_data.parquet,294,24,NetIncomeLoss,float64,267,96995000000.0
correlated_data.parquet,294,24,Revenues,float64,129,177896000000.0
correlated_data.parquet,294,24,NetIncomeLoss_growth,float64,257,0.0
correlated_data.parquet,294,24,Revenues_growth,float64,124,0.0
correlated_data.parquet,294,24,EarningsPerShareDiluted_growth,float64,255,0.0
